Day,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
01-Jan,0,0,0,0,0,0,3.1,15.4,0,10.9,0,0,0.9,0,0,0,0,0,0,0,0,9.7,0,0,0,0,0,0,0,0,-9999999,0,0,0,0
02-Jan,0,0,0,0,0,0,3,0,0,28.3,0,2.5,0,0,0,0,0,0,0,0,0,5.8,0,0,0,4.3,0,0,4.4,0,-9999999,0,0,0,0
03-Jan,3.4,0,0,0,0,0,0.9,0,1.6,4.8,0,0,0,0,0,0,0,0,0,0,7.1,0,0,0,0,2.1,0,0,7.2,9.3,-9999999,0,0,2.2,0
04-Jan,0,0,0,0,0,0,0,1.5,5,13.6,0,0,0,0,0,0,0,0,0,0,3.1,0,0,0,0,0,0,3.2,0,3.5,-9999999,0,0,0,0
05-Jan,0,0,0,0,0,0,0,0,0,7.8,0,0,0,0,0,0,0,0,0,0,0,11.3,8,11.5,0,0,0,1.1,0,6.7,-9999999,0,0,0,0
06-Jan,1.3,0,0,0,0,0,0,0,0,0,2.7,0,3.3,0,0,27.5,0,0,0,0,0,0,7,2.1,0,0,0,0,3.1,0,-9999999,0,0,0,0
07-Jan,0,0,0,0,0,0,0,1.9,0.8,0,9.9,0.5,23.2,0,2.8,0.5,0,0,0,0,7.2,0,0,0,0,0,0,0,0,0,-9999999,0,0,0,0
08-Jan,0,20,0,0.2,0,0,0,0,0,0,8.5,0,1.5,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,-9999999,0,0.2,0,0
09-Jan,0,0,0,17.3,0,0,0,0.5,0,0,0,0,0,0,0,0,0,12.2,2,0,0,0,0,0,0,0,0,0,0,0,-9999999,0,3.4,0,0
10-Jan,0,5,0,0,0,0,0,3.1,0,0,0,0.4,0,0,0,1.5,0,12.2,0.1,0,10.1,0,0,0,0,0,0,0,0,0,-9999999,0,0,6.6,0
11-Jan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,47.7,0,0,14.1,0,0,0,0,1.2,0,4.1,0,0,-9999999,0,0,0,0
12-Jan,0,0,0,0,0,0,0,0,0,0,0,1.3,3.5,0,0,4.5,0,3,0,0,7.5,0,0,0,0,0,0,0,0,0,-9999999,0,0,0,0
13-Jan,0,0,0,0,0,0,0,0,0,0,0,0,15.5,0,0,8.5,0,2.5,0,0,9.3,0,0,0,0,0,0,0,0,0,-9999999,0,0.2,0,0
14-Jan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1.3,0,7.9,0,0,0,0,-9999999,0,0,0,0
15-Jan,0,9,0,0,0,0,0,1.3,0,0,0,0,0,0,0,3.5,21,3.4,0,0,0,0,0,0,0,11.3,0,0,0,0,-9999999,0,0,0,0
16-Jan,0,0,0,0,0,0,0,25.7,0,0,0,0,8.4,0,0,0,7.2,10,0,0,0,0,0,0,0,0,0,0,0,0,-9999999,0,0,0,0
17-Jan,0,1.5,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,-9999999,0,0,0.8,0
18-Jan,0,0,0,0,0,0,0,0,0,0,0,0,30.9,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7.7,0,-9999999,0,0,0,0
19-Jan,0,0,0,0,0,1.1,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.7,0,0,0,0,0,-9999999,0,0,0,0
20-Jan,0,0,0,0,0,1.5,0,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1,0,0,0,0,0,-9999999,0,0,0.4,0
21-Jan,0,0,0,0,0,0.4,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,5.3,0,0,0,0,0,0,0,0,7.3,-9999999,0,0,4.8,0
22-Jan,0,0,0,0,0.8,0,0,25.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,-9999999,0,0,2.8,0
23-Jan,0,0,0,0,0,8.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999999,0,0,0,0
24-Jan,0,0,0,0,3.7,0,0,2.8,0,0,0,0,0,0,0,7,0,0,0,0,18,0,0,0,11.3,0,0,0,0,0,-9999999,0,0,0,0
25-Jan,0,0,0,0,0,0,0,0,0,0,0.7,11.4,3.4,0,0,0,0,0,0,0,10.8,0,0,0,0,0,0,0,0,0,-9999999,0,0,0,0
26-Jan,0,0,0,0,0,0,0.4,0,0,0,15.4,3.5,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999999,0,0,0,0
27-Jan,0,0,0,0,0,0,0,0,0,0,0,0.4,4.9,0,0.8,0,0,0,0,0,17.2,0,0,0,0,0,0,0,0,0,-9999999,0,0,0,0
28-Jan,0,0,0,0,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,0,0,0,0,0,-9999999,0,0,0,0
29-Jan,0,0,0,0,1.5,0,0.9,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.3,0,0,0,-9999999,0,0,0,0
30-Jan,0,6.7,0,0,0,0,0,2.4,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,0,0,0,-9999999,0,3.8,0,0
31-Jan,0,1.7,0,2.2,5,0,0,1.2,0,0,0.3,0,0,0,0,4,0,0,0,0,0,0,0,7.7,0,0,12.2,0,0,0,-9999999,0,22,0,0
01-Feb,0,9.2,0.2,0,17,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7,0,0,0,0,0,0,-9999999,0,0.6,0,0
02-Feb,0,0,6,0,10.4,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2,0,0,0,0,0,0,-9999999,0,13.6,0,0
03-Feb,0,0.8,0,0,6.2,0,0,0,0,0,0,0,0,0,0,10.1,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,-9999999,0,0,0,0
04-Feb,0,0,0,0,0,0.4,0,0,2.3,0,0,0,0,0,0,6.8,0,0,0,0,11.4,0,0,0,0,0,0.5,0,0,6.1,-9999999,0,0,0,0
05-Feb,0,0,0,0,2.9,10.1,0,0,5.5,0,0,0,21.8,0,0,0.2,0,0,0,0,4.2,0,0,0,0,0,0,0,0,3.5,-9999999,0,0,0,0
