"","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"1-Jan",0,0,-999,-999,0,0,-999,0.64453125,0.230615556240082,0,0,0,0,0,0.937576293945312,0,0,0,0,6.85127830505371,0,0,0,0,0,0,0,13.8125352859497,0,0,0,1.60331833362579,0,0
"2-Jan",0,0,0,0,0,1.14376819133759,-999,-999,0.474925339221954,0,0.583146214485168,0,0,0,3.27147889137268,0.36169958114624,0,0,0,1.25036239624023,0.762513875961304,0,0,0,0,0,0,2.0963020324707,0,0,0,0,0,0
"3-Jan",0,0,-999,0,1.28648066520691,0.688215613365173,-999,-999,0,3.9963219165802,0,0,0,0,0,30.2500343322754,0,0,0,0,13.3115711212158,0,0,0,0,0,0,0,0,0,0,0,0,0
"4-Jan",-999,0,0,0,2.24776387214661,-999,-999,0,6.27661943435669,0,0,-999,0,0,0,-999,0,0,0.369169533252716,4.48756694793701,26.1886749267578,0,0,0,2.47901129722595,0,0,0,0,0,0,0,0,0
"5-Jan",-999,0,0,0,0.243133783340454,0,1.01536846160889,8.26060390472412,0,0,0,0,0,0,0,0,0,0,0,5.03046607971191,0.218635901808739,0,0,0,0,0,0,0,0,0,0,0,0,0
"6-Jan",-999,0,0,0,0,0.293821632862091,1.97588562965393,4.15439653396606,6.35900783538818,0,0,5.32165241241455,7.09255266189575,0,0,0.554475367069244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.17006969451904,0,0,0
"7-Jan",-999,0,-999,0,0,4.30305194854736,0,0,0,0,0,0,0,3.03885841369629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8-Jan",-999,0,-999,0,0,5.63938236236572,0,0,12.9739007949829,0,9.09393692016602,0,0,0.872627079486847,0,0,8.7569465637207,0,0,0,0,0,0,0,0,0,0,0.316399782896042,0,0,10.4385614395142,0,0,0
"9-Jan",-999,0,0,0,0,11.9832773208618,0,0,10.1348781585693,0,0.548805832862854,0,2.12506771087646,0,0,5.41209650039673,0.540346622467041,0,-999,0,0,0,0,0,0,0,0,16.5560302734375,0,0,0.898462533950806,0,0,2.98524355888367
"10-Jan",0,0,0,-999,0,2.12749099731445,0,0,0,0,0,0,0,0,6.60738086700439,37.6484985351562,6.87598037719727,0,1.31168723106384,3.13572835922241,0,0,2.32464814186096,0,0,0,0,0,0,0,0,0,0,2.71530032157898
"11-Jan",0,-999,0,0,0,0.695963621139526,0,0,0,0,7.94721508026123,0.250801682472229,1.77861762046814,0,0,6.08357667922974,0,0,0.64453125,9.75223827362061,0,0,0,0.592671513557434,0,0,0,0,0,1.13408446311951,0,0,0,6.54796504974365
"12-Jan",0,0,-999,0,0.285488188266754,0,0,0,0,0,8.39727115631104,0.655613958835602,0,4.79355049133301,0,9.6405782699585,4.72049522399902,0,0,13.1916036605835,0,0,0,1.02000796794891,0,0,0,0,0,0,0,0,0,0
"13-Jan",0,0,-999,0,0,0,0,0,0,0,0,0,0,0,0,1.90243101119995,0,0,2.312255859375,0,0,10.8416271209717,0,0,0,0,0,0,0.322265625,0,0,0,0,2.98378348350525
"14-Jan",0,0,0,0,1.25736474990845,0,1.95344281196594,-999,0,0,0,0,0,17.4334144592285,0,0,0,0,0.252335906028748,4.06608915328979,0,10.1109943389893,0,0,0,0,0,0,0,0,0,0,0,2.64359712600708
"15-Jan",0,0.310509920120239,0,0,62.5180625915527,0,0,0,0,0,15.3879013061523,0,0,0,0,0,2.07507419586182,0,0.597235083580017,0,0,8.27712154388428,0,0,0,2.19435691833496,0,0,0,0,0,0,0,0
"16-Jan",-999,0,-999,0,0.289584040641785,5.97080373764038,0,0,0,0,5.54270362854004,4.49760961532593,0,0,0,10.6839141845703,8.21018886566162,0,0,0,0,5.74808120727539,0,22,1.40632355213165,0,0,0,0,0,0,0,0,1.20446074008942
"17-Jan",-999,0,0,0,0,4.5272421836853,0,0,0,0,4.66964912414551,0,0,7.5135498046875,0,1.25587677955627,3.00267434120178,0,0,0,0,0,0,0.24381260573864,0,1.11441016197205,0,1.49118304252625,0.668469965457916,0,0,0,0,5.29975938796997
"18-Jan",-999,0,0,0,0,0.570953071117401,0,5.85854530334473,0,0,3.17327976226807,0,0,0,2.55442833900452,2.61151790618896,0,0,1.88835048675537,0,0,8.2405366897583,0,0,0,0,0,0,0,0,0,0,0,3.37174725532532
"19-Jan",-999,0,-999,0,0,0.33785742521286,0,0.872862339019775,0,0,12.5776710510254,0,0,0.592932820320129,0,4.14396619796753,0,0,0,0,0,0,0,0,0,0,0,0,1.66657721996307,0,0,0.331563115119934,0,6.93984222412109
"20-Jan",-999,0,0,0,0,0.529336214065552,0,0,0,0,0,0,0,0,1.00797069072723,0,0,0,0,0,0.308139234781265,0,0,0,0,0,0,1.45946311950684,0,3.27591991424561,0,1.16940784454346,0,4.0563383102417
"21-Jan",-999,0,0,0,0,0,0,0,0,0,-999,0,0,0,0,0,-999,12.7372856140137,9.2091703414917,0,5.51572608947754,0,0,0.703737318515778,0,0,0,0,0,0,0,7.25400161743164,0,0
"22-Jan",-999,0,0,-999,0,9.80747890472412,0,0,-999,0,0,0,0,0,0,0,0,7.10421228408813,1.69571924209595,4.63257646560669,0,0.707358956336975,0,0,0,0,0,0,0,0,0,0,0,0
"23-Jan",0,0,5.02904891967773,0,0,0.4833984375,0,0,-999,0,0,0,0,0,0,0,0,0,19.5200099945068,0,0,16.4747905731201,0,0,0,0,0,0,0,0,0,0,0,0
"24-Jan",-999,0,3.76609206199646,-999,0,0.344999104738235,0,0,-999,0,0,0,0,0,0,0,0,0,5.28133106231689,0,0,0,0,0,0,0,8.35546875,0,0,0,0,0,0,0
"25-Jan",-999,0,0.694314122200012,0,1.98106753826141,0.43447881937027,0,0,-999,7.61242580413818,7.2957649230957,0,0,2.4774169921875,0,0,0,0,0,0,0,1.17316555976868,0,0,0,0,1.8859099149704,0,0,0,0,0,0,0
"26-Jan",-999,0.510568857192993,0,0,0,0,0,0,0,-999,6.98709154129028,0,-999,0,0,0,0,0,0,0,0.267293572425842,-999,1.71336436271667,0,0.4833984375,0,1.08611690998077,0,0,0,0,0,0,0
"27-Jan",-999,0,0.322265625,0,0.489851325750351,0,0,-999,7.22622585296631,0,0,0,29.3434314727783,0,0.842605233192444,0,0,0,0,0,0,-999,0,0,0,5.2121114730835,10.3852157592773,0,0,0,0,0,0,0
