Day,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
01-Jan,8.9,0,0,0,0,0,0,0,0,0,0,0,0,0,7.3,0,0,0,0,0,0,-9999999,0,0,0,0,0,8.5,0,0,0,0,-9999999,-9999999,0,0,0,0,0
02-Jan,9.8,0,0,0,0,0,0,0,0,0,11.5,0,0,6.5,0,0,0,0,0,0,0,-9999999,0,0,0,0,0,2.5,0,0.5,0,0,-9999999,-9999999,0,0,0.2,0,0
03-Jan,0,0,0,0,0,0,0,0,0,0,10.5,3.5,0,42.8,0,0,0,0,0,0,0,-9999999,0,0,0,2.3,0,0,0,0,0,0,-9999999,-9999999,0,0,0,0,0
04-Jan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2,0,-9999999,0,0,0,0,0,0,0,0,0,0,-9999999,-9999999,0,0,0,0,0
05-Jan,0,0,0,0,0,0,0,0,0,0,0,9.7,0,0,0,0,0,0,0,0,0,-9999999,0,0,17.3,0,0,6,0,0,0,0,-9999999,-9999999,0,0,0,0,0
06-Jan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.7,0,0,0,0,-9999999,0,0,0,0,0,0,0,0,0,0,-9999999,-9999999,0,0,0,0,0
07-Jan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999999,0,0,16.7,0,0,0,0,0,0,0,-9999999,-9999999,0,0,0,0,0
08-Jan,0,0,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999999,0,0,0,0,0,0,0,0,0,0,-9999999,-9999999,0,0,0,0,0
09-Jan,9.9,0,0,0,0,0,0,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999999,0,0,0,0,0,0,0,0,0,0,-9999999,-9999999,0,0,0,0,0
10-Jan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999999,0,0,0,4.2,0,0,0,0,0,0,-9999999,-9999999,0,0,0,0,0
11-Jan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999999,0,0,0,0,0,0,0,0.1,0,0,-9999999,-9999999,0,0,0,0,0
12-Jan,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,-9999999,0,0,0,0,0,0,0,0,0,0,-9999999,-9999999,0,0,0,0,0
13-Jan,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,26.4,0,0,0,0,-9999999,0,0,0,0,0,2,0,0,0,0,-9999999,-9999999,0,0,0,0,0
14-Jan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999999,0,0,0,23.8,0,23.7,0,0,0,0,-9999999,-9999999,0,0,0,0,0
15-Jan,0,0,5.7,0,0,0,0,0,5.8,0,0,0,0,0,0,0,0,0,0,0,0,-9999999,0,0,0,2.1,0,24,0,0,0,0,-9999999,-9999999,0,0,0.4,0,0
16-Jan,0,0,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999999,0,0,0,0,0,0,0,0.8,3.5,0,-9999999,-9999999,0,0,5.2,0,0
17-Jan,0,22.6,7.5,0,0,0,0,0,0,0,0,0,23.6,0,0,0,25.1,0,0,0,0,-9999999,15.2,0,0,0,0,0,0,0,0,0,-9999999,-9999999,0,0,0.6,0,0
18-Jan,0,47.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999999,0,0,8.7,0,0,0,0,0,0,20,-9999999,-9999999,0,0,0,0,0
19-Jan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,0,0,0,0,-9999999,0,0,0,0,0,0,0,0,0,31,-9999999,-9999999,0,0,0,0,0
20-Jan,0,0,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,-9999999,0,0,0,0,0,0,0,7.5,0,19,-9999999,-9999999,0,0,0,0,0
21-Jan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.5,0,-9999999,0,0,0,0,0,0,0,0,0,0,-9999999,-9999999,0,0,0,0,0.4
22-Jan,0,0,0,0,0,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999999,0,0,0,0,0,0,0,0,0,0,-9999999,-9999999,0.2,0,0,0,0
23-Jan,0,0,17.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999999,0,0,0,0,0,0,0,0,0,0,-9999999,-9999999,0.6,0,0,0,0
24-Jan,0,0,17.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999999,0,0,0,0,0,0,0,0,0,0,-9999999,-9999999,5,0,0,0,0
25-Jan,0,0,15.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999999,0,0,0,0,0,0,0,0,0,0,-9999999,-9999999,6,0,0,0,0
26-Jan,0,0,0,5.7,0,0,0,0,6.9,0,0,0,0,0,0,0,15,0,0,0,0,-9999999,0,0,0,0,0,0,0,0,0,0,-9999999,-9999999,0,0,0,0,0
27-Jan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.6,0,0,0,0,0,0,-9999999,0,0,0,0,0,0,0,0,0,0,-9999999,-9999999,0,0,0,0,0
28-Jan,0,0,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999999,0,0,0,0,0,0,0,0,0,0,-9999999,-9999999,0,0,0,0,0
29-Jan,0,0,36.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999999,0,0,0,0,0,0,6.9,0,0,0,-9999999,-9999999,0,0,0,0,0
30-Jan,0,0,3.3,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999999,0,0,0,0,0,0,0,0,0,0,-9999999,-9999999,0,0,0,0,0
31-Jan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.4,0,0,0,0,-9999999,0,0,0,0,0,0,0,0,0,0,-9999999,-9999999,0,0,8.6,0,0
01-Feb,0,0,9.5,0,0,0,0,0,0,0,0,0,0,-9999999,-9999999,0,0,-9999999,0,0,0,-9999999,0,0,0,0,0,0,-9999999,0,0,0,0,-9999999,0,0,4.4,0,0
02-Feb,0,0,10.8,0,0,0,0,0,0,0,0,0,0,-9999999,-9999999,0,0,-9999999,0,0,0,-9999999,0,0,0,0,0,0,-9999999,0,0,0,0,-9999999,0,0,0,0,0
03-Feb,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999999,-9999999,0,0,-9999999,0,0,0,-9999999,0,0,0,0,0,0,-9999999,0,0,0,0,-9999999,0,0,0,0,0
04-Feb,0,0,0,0,4.5,0,4.3,0,4.3,0,0,0,0,-9999999,-9999999,3,0,-9999999,0,0,0,-9999999,0,0,0,0,0,0,-9999999,0,0,0,0,-9999999,0,0,0,0,0
05-Feb,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999999,-9999999,0,0,-9999999,0,0,0,-9999999,0,0,0,0,0,0,-9999999,0,0,0,0,-9999999,0,0,0,0,0
06-Feb,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999999,-9999999,0,0,-9999999,0,0,0,-9999999,0,0,0,0,0,0,-9999999,0,0,0,0,-9999999,0,0,0,0,0
07-Feb,0,0,0,0,0,0,0,0,26.4,0,0,0,0,-9999999,-9999999,0,8.3,-9999999,0,5.1,0,-9999999,0,0,0,0,0,0,-9999999,0,0,0,0,-9999999,0,0,0,0,0
08-Feb,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999999,-9999999,0,10.2,-9999999,33.1,0,0,-9999999,0,0,0,0,0,0,-9999999,0,0,0,0,-9999999,0,0,0,0.4,0
09-Feb,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999999,-9999999,0,0,-9999999,0,0,0,-9999999,0,0,0,0,0,0,-9999999,0,0,0,0,-9999999,0,0,0,7.8,0
10-Feb,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999999,-9999999,0,10.5,-9999999,0,0,0,-9999999,0,0,0,0,0,0,-9999999,0,0,0,0,-9999999,0,0,0,0,0
11-Feb,0,0,0,0,0,0,0,0,0,0,0,3.8,0,-9999999,-9999999,0,31.3,-9999999,0,0,0,-9999999,0,0,0,0,0,0,-9999999,0,0,0,0,-9999999,0,0,0,0.6,0
12-Feb,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999999,-9999999,0,0,-9999999,10.5,0,0,-9999999,0,0,0,0,0,0,-9999999,0,0,0,0,-9999999,0,0,0,0,0
13-Feb,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999999,-9999999,0,0,-9999999,11.1,0,0,-9999999,0,0,0,0,0,0,-9999999,0,0,0,0,-9999999,0,0,0,2,0
14-Feb,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999999,-9999999,0,0,-9999999,0,0,0,-9999999,0,0,0,0,0,0,-9999999,0,0,0,0,-9999999,1.8,0,0,0,0
15-Feb,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999999,-9999999,0,0,-9999999,0,0,0,-9999999,0,0,0,0,0,0,-9999999,0,0,0,0,-9999999,0,0,0,0,0
16-Feb,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999999,-9999999,0,0,-9999999,0,0,0,-9999999,0,0,0,0,0,0,-9999999,0,0,0,0,-9999999,14,2.6,0,0,5.6
17-Feb,0,40.6,0,0,0,0,0,0,0,0,0,0,0,-9999999,-9999999,0,0,-9999999,0,7.2,0,-9999999,0,0,0,0,0,0,-9999999,0,0,0,0,-9999999,0,0,0,27.6,2.4
18-Feb,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999999,-9999999,0,0,-9999999,0,0,0,-9999999,0,0,0,0,0,0,-9999999,0,0,0,0,-9999999,0,1.6,0,0,0
19-Feb,0,0,0,0,0,0,4.7,0,0,0,0,0,3.5,-9999999,-9999999,0,5.2,-9999999,0,0,0,-9999999,0,0,0,0,0,0,-9999999,0,0,0,0,-9999999,0,0,0,0,0
20-Feb,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999999,-9999999,0,0,-9999999,0,0,0,-9999999,0,0,0,0,0,0,-9999999,0,0,0,0,-9999999,0,0,0,0,0
21-Feb,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999999,-9999999,0,0,-9999999,0,0,0,-9999999,0,0,0,0,0,0,-9999999,0,0,0,0,-9999999,0,0,0,0,0
22-Feb,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999999,-9999999,0,0,-9999999,0,0,0,-9999999,0,0,0,0,0,0,-9999999,0,0,0,0,-9999999,0,0,0,0,0
23-Feb,0,17.7,0,0,0,0,0,0,0,0,0,0,0,-9999999,-9999999,0,0,-9999999,0,0,0,-9999999,0,0,0,0,0,0,-9999999,0,0,0,0,-9999999,0,0,0,0,0
24-Feb,15.7,8.4,0,0,0,0,0,0,0,0,0,0,0,-9999999,-9999999,0,0,-9999999,0,0,0,-9999999,0,0,0,0,0,0,-9999999,0,0,0,0,-9999999,0,0,0,0,0
25-Feb,17.9,5.6,0,0,0,0,0,0,0,0,0,0,0,-9999999,-9999999,0,0,-9999999,0,0,0,-9999999,0,0,0,0,0,0,-9999999,0,0,0,0,-9999999,0,0,0,0,0
26-Feb,8.4,0,0,0,0,0,0,0,0,0,0,0,0,-9999999,-9999999,0,0,-9999999,0,0,0,-9999999,0,0,0,0,0,0,-9999999,0,0,0,0,-9999999,0,0,0,0,0
27-Feb,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999999,-9999999,0,0,-9999999,0,0,0,-9999999,0,0,0,0,0,0,-9999999,0,0,0,0,-9999999,0,0,0,0,0.4
