"","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"1-Jan",0,0,-999,-999,0,0,-999,6.30733966827393,15.1904029846191,0,1.39147186279297,0,0,0,0,1.00865626335144,0,0,0,0,0,0,0,0,0,0,0,5.38611125946045,0,0,0.295880019664764,0,0,0
"2-Jan",0,0,0,0,0,0,-999,-999,2.97449517250061,0,3.97452354431152,0,0,0,0,5.50604391098022,2.2910053730011,0,0,0,0.25968137383461,0.590284526348114,0,1.96462321281433,1.11716556549072,0,0,0.591436862945557,0,0,0,0,0,0
"3-Jan",0,0,-999,0,0,0,-999,-999,0,0,1.95933330059052,0,4.35097646713257,0,0,11.2289581298828,0,0,0,0,0,3.29413795471191,0,1.98518693447113,21.1072692871094,0,0,0.684154391288757,0,0,0,0,0,7.05645942687988
"4-Jan",-999,0,0,0,7.93661499023438,-999,-999,0,0,0,0,-999,0,0,0,-999,0,0,0,2.93180274963379,0,1.98467004299164,0,0,26.6606407165527,0,0,5.07916688919067,0,0,0,0,0,14.2615814208984
"5-Jan",-999,0,0,0,6.06782150268555,0,0,0,0,0,0,0,0,0,0,5.13320446014404,0,0,25.1549034118652,0.255047202110291,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6-Jan",-999,0,0,0,0,0,4.99354887008667,0,0,0,2.18957352638245,0,0,1.99514007568359,0,28.6166667938232,0,0,13.9460716247559,0.988674998283386,0,1.15382039546967,0,0,0,0,0,0,0,0,0,0,0,0
"7-Jan",-999,0,-999,0,0,0,0.441185712814331,0,0,2.8859486579895,30.9934158325195,0,0,0,0.974515020847321,5.8422737121582,0,0,0.390532344579697,0,0,0.233264058828354,0,0,0,0,0,0.981445908546448,0,0,0,0,0,0
"8-Jan",-999,0,-999,0,0,0,0,0,0,0,5.48062229156494,0,0,0,0,8.21738719940186,0,0,0,0,0,0,0,0,0,0,0,0.23524372279644,0,0,0,0,0,0
"9-Jan",-999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.17047691345215,0,0,-999,0,0,0,0,0,0,0,0,2.32698678970337,0,0,0,0,0,0
"10-Jan",0,1.02962231636047,0,-999,0,0,0,0,0,0,2.18816614151001,0,0,0,0,1.2729229927063,17.5839004516602,0,6.11943244934082,0,0,0,0,0,0,0,0,5.86865472793579,0,0,0,0,0,0
"11-Jan",0,-999,0,0,0,0,0,0,0,0,0.205522790551186,0,0,0,0,14.1058073043823,0,0,6.88840293884277,4.90385675430298,0,0,0,0,0,0,0,0,0,0,0,0,0,0.349937170743942
"12-Jan",0,0,-999,0,0,0,0,0,0,0,7.17845726013184,0,7.0835862159729,3.91421103477478,0,14.8054542541504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13-Jan",0,0,-999,0,0,0,0,0,0,0,18.9024047851562,0,0,0,0,6.22342729568481,0,0,0.687355756759644,0.307416677474976,0,0.222197905182838,0,0,0,8.81861877441406,0,0,0,0,0,0,0,0
