"","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"1-Jan",0,0,0,0,0,0,0,0,0,0,0,0,0,1.42149698734283,0,0,0,0,0,0,5.19381141662598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2-Jan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.36875057220459,0,0,0,0,3.89934754371643,0
"3-Jan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.75851392745972,0,0,0,0,0,0
"4-Jan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5-Jan",0,0,0,0,0,0,0,1.45345842838287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6-Jan",0,0,0,0,0,0,0,0,0.857769429683685,0,0,0,0,0,0,0,0,0,2.15455865859985,0,0,0,0,0,0,0,0,0,0,0,0,2.3654932975769,0,0,0,0
"7-Jan",0,0,0,0,0,0,0,0,13.9744939804077,0,2.85967421531677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.82965517044067,0,0,0,0,2.93827867507935,0,0,3.18143272399902
"8-Jan",0,0,0,0,0,0,4.85351657867432,0,0,0,0,0,0,0,5.65399169921875,0,0,0,0,1.97689497470856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9-Jan",0,8.24829387664795,3.674485206604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.94223690032959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.04451847076416,0
"10-Jan",0,0,0,0,0,0,0,0,0,0,0,0,0,7.18418264389038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11-Jan",0,0,0,0,0,0,0,5.76757907867432,0,0,3.40427303314209,0,0,6.29890727996826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12-Jan",0,0,0,3.39898705482483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13-Jan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14-Jan",0,0,0,0,0,0,0,0,0,3.2289342880249,0,0,0,0,6.82331418991089,0,0,0,0,0,0,0,0,0,0,2.74746203422546,0,0,0,0,2.80742645263672,0,3.09193468093872,0,0,0
"15-Jan",0,0,0,0,0,0,0,0,0.783932089805603,3.2289342880249,0,0,2.52275228500366,0,0,4.73835229873657,0,1.28168118000031,0,0,0.672546744346619,5.5336446762085,0,0,0,2.74746203422546,0.237276658415794,0,2.29323172569275,0,2.80742645263672,3.603111743927,0,0,0,0
"16-Jan",0,0,0,3.2175030708313,0,0,6.31184768676758,0,0,0,0,0,4.20203113555908,0,1.65074241161346,0,0,0,0,0,0,0,0,0,0,0,0,1.07146656513214,3.87052226066589,0,0,0,0,0,0,0
"17-Jan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.30255353450775,0,0,0,0,0,1.87506663799286,0,0,0,0,0,0,0,0
"18-Jan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.51626825332642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5572817325592
"19-Jan",0,0,0,0,2.49346327781677,2.51181387901306,0,0,0,0,0,0,0,0,0,0,2.09478545188904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20-Jan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.79312586784363,0,0,0,0,0,0,0,0,0,0,0,0
"21-Jan",0,0,0,0,4.18487644195557,0,0,0,0,0,0,0,0,0,0,2.28183579444885,0,0,0,0,0,0,0,0,1.91492831707001,0,0,0,1.19656038284302,0,0,0,0,7.50522994995117,0,0
"22-Jan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.00834250450134,0,0,0,1.56457722187042,0,0,0,0,0,0,0,0
"23-Jan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24-Jan",3.39062118530273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25-Jan",3.69885945320129,3.45310711860657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.026686668396,0,0,0,0,0,0,0,0,2.50174331665039,0,0
"26-Jan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
